date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2024-04-01,INFY.NS,SELL,1508.35,1525.0,1491.7,16.65,1495.1,TIME,66.2976,878.44,95.41,783.04,True
2024-04-03,HDFCBANK.NS,BUY,743.92,735.75,752.1,8.17,740.97,TIME,134.4231,-395.88,95.46,-491.34,False
2024-04-03,TCS.NS,BUY,3924.0,3858.15,3989.85,65.85,3944.35,TIME,25.4842,518.61,95.73,422.88,True
2024-04-05,HDFCBANK.NS,BUY,771.5,765.8,777.2,5.7,777.2,TARGET,129.6176,738.82,95.79,643.03,True
2024-04-08,INFY.NS,SELL,1482.05,1490.95,1473.15,8.9,1477.85,TIME,67.4741,283.39,95.52,187.87,True
2024-04-08,TCS.NS,SELL,3978.05,3995.0,3961.1,16.95,3995.0,STOP,25.1379,-426.09,95.66,-521.75,False
2024-04-09,ICICIBANK.NS,BUY,1098.45,1089.0,1107.9,9.45,1107.9,TARGET,91.0374,860.3,95.83,764.47,True
2024-04-09,RELIANCE.NS,SELL,1477.5,1488.85,1466.15,11.35,1466.15,TARGET,67.6819,768.19,95.43,672.76,True
2024-04-12,ICICIBANK.NS,SELL,1102.35,1111.7,1093.0,9.35,1104.95,TIME,90.7153,-235.86,95.62,-331.48,False
2024-04-12,INFY.NS,SELL,1495.25,1506.75,1483.75,11.5,1483.75,TARGET,66.8784,769.1,95.43,673.67,True
2024-04-15,ICICIBANK.NS,SELL,1087.0,1104.4,1069.6,17.4,1078.5,TIME,91.9963,781.97,95.43,686.54,True
2024-04-15,RELIANCE.NS,BUY,1463.95,1447.0,1480.9,16.95,1480.9,TARGET,68.3083,1157.83,95.92,1061.91,True
2024-04-16,HDFCBANK.NS,BUY,749.95,741.17,758.73,8.78,755.08,TIME,133.3422,683.38,95.78,587.6,True
2024-04-16,INFY.NS,SELL,1444.2,1454.1,1434.3,9.9,1434.3,TARGET,69.2425,685.5,95.45,590.05,True
2024-04-18,HDFCBANK.NS,SELL,753.0,759.3,746.7,6.3,746.7,TARGET,132.8021,836.65,95.42,741.24,True
2024-04-18,ICICIBANK.NS,SELL,1064.25,1077.5,1051.0,13.25,1051.0,TARGET,93.9629,1245.01,95.34,1149.67,True
2024-04-18,NIFTY,SELL,22164.85,22270.15,22059.55,105.3,22270.15,STOP,4.5116,-475.08,95.67,-570.75,False
2024-04-18,TCS.NS,BUY,3916.0,3877.0,3955.0,39.0,3877.0,STOP,25.5363,-995.91,95.29,-1091.2,False
2024-04-19,HDFCBANK.NS,BUY,752.0,740.65,763.35,11.35,763.35,TARGET,132.9787,1509.31,96.02,1413.29,True
2024-04-19,ICICIBANK.NS,BUY,1058.65,1049.85,1067.45,8.8,1067.45,TARGET,94.4599,831.25,95.82,735.43,True
2024-04-19,INFY.NS,BUY,1401.15,1379.85,1422.45,21.3,1422.45,TARGET,71.3699,1520.18,96.02,1424.16,True
2024-04-19,NIFTY,BUY,21901.65,21778.55,22024.75,123.1,22024.75,TARGET,4.5659,562.06,95.74,466.32,True
2024-04-22,ICICIBANK.NS,BUY,1081.35,1071.5,1091.2,9.85,1087.15,TIME,92.477,536.37,95.73,440.63,True
2024-04-22,INFY.NS,BUY,1423.35,1413.5,1433.2,9.85,1433.2,TARGET,70.2568,692.03,95.78,596.25,True
