range_size_pct,orb_body_ratio,orb_upper_wick_ratio,orb_lower_wick_ratio,gap_pct,orb_volume,volume_ratio,day_of_week,signal_encoded,ticker_encoded,date,ticker,signal,label
1.1039,0.7718,0.1862,0.042,0.0,0.0,0.0,0,0,1,2024-04-01,INFY.NS,SELL,TIME
1.0982,0.471,0.0336,0.4954,0.0034,0.0,0.0,2,1,3,2024-04-03,HDFCBANK.NS,BUY,TIME
1.6781,0.8899,0.0607,0.0494,-0.7352,0.0,0.0,2,1,2,2024-04-03,TCS.NS,BUY,TIME
0.7388,0.2939,0.1623,0.5439,0.6216,0.0,0.0,4,1,3,2024-04-05,HDFCBANK.NS,BUY,TARGET
0.6005,0.3933,0.4438,0.1629,0.4424,0.0,0.0,0,0,1,2024-04-08,INFY.NS,SELL,TIME
0.4261,0.236,0.354,0.41,0.245,0.0,0.0,0,0,2,2024-04-08,TCS.NS,SELL,STOP
0.8603,0.7566,0.0688,0.1746,0.4051,0.0,0.0,1,1,4,2024-04-09,ICICIBANK.NS,BUY,TARGET
0.7682,0.5881,0.0,0.4119,0.2255,0.0,0.0,1,0,0,2024-04-09,RELIANCE.NS,SELL,TARGET
0.8482,0.2406,0.6524,0.107,-0.2886,0.0,0.0,4,0,4,2024-04-12,ICICIBANK.NS,SELL,TIME
0.7691,0.113,0.713,0.1739,-0.5475,0.0,0.0,4,0,1,2024-04-12,INFY.NS,SELL,TARGET
1.6007,0.977,0.0,0.023,0.0,0.0,0.0,0,0,4,2024-04-15,ICICIBANK.NS,SELL,TIME
1.1578,0.2139,0.292,0.4941,-0.8617,0.0,0.0,0,1,0,2024-04-15,RELIANCE.NS,BUY,TARGET
1.1707,0.4786,0.1339,0.3875,-0.2846,0.0,0.0,1,1,3,2024-04-16,HDFCBANK.NS,BUY,TIME
0.6855,0.5404,0.0,0.4596,-0.8929,0.0,0.0,1,0,1,2024-04-16,INFY.NS,SELL,TARGET
0.8367,0.1984,0.7619,0.0397,-0.1984,0.0,0.0,3,0,3,2024-04-18,HDFCBANK.NS,SELL,TARGET
1.245,0.6377,0.1698,0.1925,0.5988,0.0,0.0,3,0,4,2024-04-18,ICICIBANK.NS,SELL,TARGET
0.9959,0.3667,0.4821,0.1513,0.2608,0.0,0.0,3,1,2,2024-04-18,TCS.NS,BUY,STOP
1.5093,0.7335,0.0441,0.2225,-0.5586,0.0,0.0,4,1,3,2024-04-19,HDFCBANK.NS,BUY,TARGET
0.8312,0.7841,0.2159,0.0,-0.507,0.0,0.0,4,1,4,2024-04-19,ICICIBANK.NS,BUY,TARGET
1.5202,0.5211,0.2887,0.1901,-3.217,0.0,0.0,4,1,1,2024-04-19,INFY.NS,BUY,TARGET
0.9109,0.0711,0.6498,0.2792,0.6559,0.0,0.0,0,1,4,2024-04-22,ICICIBANK.NS,BUY,TIME
0.692,0.5381,0.3401,0.1218,0.2445,0.0,0.0,0,1,1,2024-04-22,INFY.NS,BUY,TARGET
0.4441,0.2366,0.2214,0.542,0.0323,0.0,0.0,0,1,0,2024-04-22,RELIANCE.NS,BUY,TARGET
0.6156,0.4292,0.2896,0.2812,-0.0314,0.0,0.0,0,1,2,2024-04-22,TCS.NS,BUY,TIME
0.7214,0.2844,0.4633,0.2523,0.3075,0.0,0.0,1,0,3,2024-04-23,HDFCBANK.NS,SELL,TIME
0.5714,0.9756,0.0,0.0244,0.2605,0.0,0.0,2,0,1,2024-04-24,INFY.NS,SELL,TIME
0.7204,0.2738,0.35,0.3762,0.3168,0.0,0.0,2,0,0,2024-04-24,RELIANCE.NS,SELL,STOP
0.4786,0.4232,0.3342,0.2426,0.3433,0.0,0.0,2,0,2,2024-04-24,TCS.NS,SELL,TARGET
1.5897,1.0,0.0,0.0,-0.3784,0.0,0.0,3,1,4,2024-04-25,ICICIBANK.NS,BUY,TIME
0.8629,0.9355,0.0645,0.0,-0.6278,0.0,0.0,3,1,1,2024-04-25,INFY.NS,BUY,TIME
0.5846,0.0119,0.7024,0.2857,0.0834,0.0,0.0,4,0,1,2024-04-26,INFY.NS,SELL,TARGET
2.2067,0.884,0.116,0.0,-0.4806,0.0,0.0,0,1,4,2024-04-29,ICICIBANK.NS,BUY,TARGET
1.0979,0.125,0.3915,0.4835,0.488,0.0,0.0,0,1,2,2024-04-29,TCS.NS,BUY,TIME
0.6977,0.0561,0.2897,0.6542,0.0327,0.0,0.0,1,1,3,2024-04-30,HDFCBANK.NS,BUY,STOP
0.4371,0.336,0.304,0.36,-0.0975,0.0,0.0,1,0,1,2024-04-30,INFY.NS,SELL,TARGET
0.6195,0.3389,0.4038,0.2573,0.1824,0.0,0.0,1,0,2,2024-04-30,TCS.NS,SELL,TARGET
1.3273,0.9824,0.0176,0.0,-0.6577,0.0,0.0,3,1,2,2024-05-02,TCS.NS,BUY,TIME
0.8054,0.5122,0.4675,0.0203,0.0587,0.0,0.0,4,0,3,2024-05-03,HDFCBANK.NS,SELL,TARGET
1.322,0.149,0.8113,0.0397,0.5356,0.0,0.0,4,0,4,2024-05-03,ICICIBANK.NS,SELL,TIME
1.0725,0.7013,0.2093,0.0895,0.1702,0.0,0.0,4,0,0,2024-05-03,RELIANCE.NS,SELL,TARGET
0.7687,0.5185,0.4074,0.0741,0.4607,0.0,0.0,4,0,2,2024-05-03,TCS.NS,SELL,TARGET
0.9782,0.2903,0.2115,0.4982,0.0993,0.0,0.0,0,0,0,2024-05-06,RELIANCE.NS,SELL,TIME
1.6714,0.6174,0.3087,0.0739,-0.1219,3155991.0,1.8384,1,0,4,2024-05-07,ICICIBANK.NS,SELL,TIME
0.8472,0.6667,0.304,0.0294,-0.2131,0.0,0.0,1,0,0,2024-05-07,RELIANCE.NS,SELL,TARGET
0.6414,0.2408,0.3089,0.4503,-0.7639,0.0,0.0,2,0,3,2024-05-08,HDFCBANK.NS,SELL,TIME
1.0353,0.5129,0.3707,0.1164,-0.3711,0.0,0.0,2,0,4,2024-05-08,ICICIBANK.NS,SELL,TIME
1.1669,0.6061,0.3939,0.0,-0.463,0.0,0.0,2,1,0,2024-05-08,RELIANCE.NS,BUY,TARGET
1.4033,0.6104,0.3553,0.0343,-0.0441,0.0,0.0,3,0,0,2024-05-09,RELIANCE.NS,SELL,TIME
0.6363,0.0874,0.5574,0.3552,-0.4237,0.0,0.0,0,1,3,2024-05-13,HDFCBANK.NS,BUY,TARGET
1.085,0.2026,0.1296,0.6678,0.1169,0.0,0.0,0,1,2,2024-05-13,TCS.NS,BUY,TIME
0.6028,0.1114,0.8886,0.0,0.2816,0.0,0.0,1,1,0,2024-05-14,RELIANCE.NS,BUY,TARGET
0.5456,0.2722,0.2279,0.5,-0.5676,0.0,0.0,2,0,3,2024-05-15,HDFCBANK.NS,SELL,TARGET
0.9011,0.2956,0.4187,0.2857,0.5149,0.0,0.0,3,0,4,2024-05-16,ICICIBANK.NS,SELL,TARGET
0.6145,0.3506,0.2069,0.4425,0.5016,1474944.0,1.0702,3,0,0,2024-05-16,RELIANCE.NS,SELL,TARGET
0.7137,0.0433,0.7635,0.1931,0.1959,602001.0,1.7037,3,0,2,2024-05-16,TCS.NS,SELL,TARGET
1.1388,0.4547,0.0676,0.4777,-0.3034,0.0,0.0,4,1,0,2024-05-17,RELIANCE.NS,BUY,TIME
1.2872,0.9347,0.0,0.0653,0.4576,0.0,0.0,4,0,2,2024-05-17,TCS.NS,SELL,TIME
0.3631,0.3302,0.283,0.3868,-0.0618,0.0,0.0,2,1,3,2024-05-22,HDFCBANK.NS,BUY,STOP
1.0924,0.9053,0.0288,0.0658,0.4468,0.0,0.0,2,0,4,2024-05-22,ICICIBANK.NS,SELL,TARGET
1.1241,0.9294,0.0706,0.0,-0.0314,0.0,0.0,2,1,1,2024-05-22,INFY.NS,BUY,TIME
0.4304,0.2619,0.6111,0.127,-0.3655,0.0,0.0,3,1,3,2024-05-23,HDFCBANK.NS,BUY,TARGET
1.2,0.7037,0.0,0.2963,0.1212,0.0,0.0,3,1,4,2024-05-23,ICICIBANK.NS,BUY,TIME
0.9283,0.6581,0.1581,0.1838,-0.0206,0.0,0.0,3,1,1,2024-05-23,INFY.NS,BUY,TIME
0.8959,0.7495,0.2505,0.0,-0.1387,0.0,0.0,3,1,0,2024-05-23,RELIANCE.NS,BUY,TARGET
0.8059,0.365,0.418,0.217,0.0692,0.0,0.0,3,1,2,2024-05-23,TCS.NS,BUY,TARGET
1.0313,0.6387,0.3613,0.0,-0.2983,0.0,0.0,4,1,3,2024-05-24,HDFCBANK.NS,BUY,TARGET
0.648,0.2105,0.5789,0.2105,-0.163,1006452.0,0.9686,4,0,1,2024-05-24,INFY.NS,SELL,TIME
0.8753,0.7175,0.2825,0.0,0.3197,0.0,0.0,0,1,3,2024-05-27,HDFCBANK.NS,BUY,STOP
0.5895,0.3582,0.3433,0.2985,-0.0132,0.0,0.0,0,1,4,2024-05-27,ICICIBANK.NS,BUY,TARGET
0.6034,0.5763,0.0508,0.3729,0.2719,0.0,0.0,1,0,1,2024-05-28,INFY.NS,SELL,STOP
0.8272,0.624,0.376,0.0,-0.6345,0.0,0.0,2,0,3,2024-05-29,HDFCBANK.NS,SELL,TIME
1.0433,0.6595,0.2845,0.056,-0.599,0.0,0.0,2,0,4,2024-05-29,ICICIBANK.NS,SELL,TARGET
0.5006,0.6644,0.2397,0.0959,0.0513,0.0,0.0,2,0,1,2024-05-29,INFY.NS,SELL,TARGET
0.6805,0.8019,0.1077,0.0904,0.185,0.0,0.0,2,0,2,2024-05-29,TCS.NS,SELL,TIME
1.0336,0.4792,0.2684,0.2524,-0.2587,0.0,0.0,3,1,3,2024-05-30,HDFCBANK.NS,BUY,TIME
1.0348,0.8586,0.1246,0.0168,-0.3407,0.0,0.0,3,0,1,2024-05-30,INFY.NS,SELL,TIME
