date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2025-11-06,INFY.NS,SELL,1469.5,1483.0,1456.0,13.5,1467.4,TIME,68.0504,142.9,95.55,47.35,True
2025-11-07,ICICIBANK.NS,BUY,1331.9,1318.6,1345.2,13.3,1343.2,TIME,75.0807,848.41,95.83,752.58,True
2025-11-11,ICICIBANK.NS,BUY,1354.7,1348.1,1361.3,6.6,1348.1,STOP,73.8171,-487.19,95.44,-582.63,False
2025-11-12,HDFCBANK.NS,SELL,992.5,998.1,986.9,5.6,989.35,TIME,100.7557,317.38,95.52,221.87,True
2025-11-12,NIFTY,BUY,25863.85,25781.25,25946.45,82.6,25884.4,TIME,3.8664,79.46,95.6,-16.15,False
2025-11-13,HDFCBANK.NS,BUY,987.4,982.7,992.1,4.7,986.9,TIME,101.2761,-50.64,95.56,-146.2,False
2025-11-14,HDFCBANK.NS,BUY,986.55,977.8,995.3,8.75,990.5,TIME,101.3633,400.39,95.69,304.69,True
2025-11-17,RELIANCE.NS,SELL,1516.1,1523.0,1509.2,6.9,1518.0,TIME,65.9587,-125.32,95.6,-220.92,False
2025-11-18,HDFCBANK.NS,SELL,993.0,998.65,987.35,5.65,991.95,TIME,100.7049,105.74,95.56,10.18,True
2025-11-18,ICICIBANK.NS,SELL,1373.5,1380.2,1366.8,6.7,1371.9,TIME,72.8067,116.49,95.56,20.93,True
2025-11-19,ICICIBANK.NS,BUY,1378.3,1372.0,1384.6,6.3,1383.3,TIME,72.5531,362.77,95.68,267.09,True
2025-11-19,NIFTY,BUY,25954.5,25856.7,26052.3,97.8,26052.3,TARGET,3.8529,376.81,95.69,281.13,True
2025-11-20,HDFCBANK.NS,BUY,996.8,992.6,1001.0,4.2,1001.0,TARGET,100.321,421.35,95.7,325.65,True
2025-11-21,INFY.NS,BUY,1540.8,1527.9,1553.7,12.9,1544.9,TIME,64.9013,266.1,95.66,170.44,True
